frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
7,left_hand,penetration,0.0133,0.0183,0.0180,1.02
7,right_hand,penetration,0.0179,0.0236,0.0180,1.02
8,left_hand,penetration,0.0023,0.0186,0.0180,0.78
8,right_hand,penetration,0.0075,0.0190,0.0180,0.78
9,left_hand,penetration,0.0155,0.0181,0.0180,0.83
9,right_hand,penetration,0.0061,0.0183,0.0180,0.83
10,left_hand,penetration,0.0130,0.0184,0.0180,1.03
10,right_hand,penetration,0.0096,0.0171,0.0180,1.03
11,left_hand,penetration,0.0034,0.0189,0.0180,2.15
11,right_hand,penetration,0.0053,0.0178,0.0180,2.15
12,left_hand,penetration,0.0136,0.0247,0.0180,3.12
12,right_hand,penetration,0.0057,0.0176,0.0180,3.12
13,left_hand,penetration,0.0115,0.0196,0.0180,3.79
13,right_hand,penetration,0.0072,0.0149,0.0180,3.79
14,left_hand,penetration,0.0096,0.0216,0.0180,3.03
14,right_hand,penetration,0.0038,0.0155,0.0180,3.03
15,left_hand,penetration,0.0090,0.0189,0.0180,2.74
15,right_hand,penetration,0.0063,0.0178,0.0180,2.74
16,left_hand,penetration,0.0094,0.0182,0.0180,3.05
16,right_hand,penetration,0.0062,0.0167,0.0180,3.05
17,left_hand,penetration,0.0084,0.0184,0.0180,1.69
29,right_hand,penetration,0.0135,0.0194,0.0180,0.31
30,right_hand,penetration,0.0128,0.0189,0.0180,0.35
39,left_hand,penetration,0.0043,0.0185,0.0180,1.51
39,right_hand,penetration,0.0161,0.0185,0.0180,1.51
40,right_hand,penetration,0.0007,0.0185,0.0180,1.40
41,left_hand,penetration,0.0178,0.0238,0.0180,0.78
42,left_hand,penetration,0.0103,0.0189,0.0180,0.50
45,left_hand,penetration,0.0106,0.0122,0.0180,1.21
46,left_hand,penetration,0.0142,0.0184,0.0180,0.92
49,left_hand,penetration,0.0065,0.0121,0.0180,1.57
50,left_hand,penetration,0.0057,0.0132,0.0180,1.76
50,right_hand,penetration,0.0075,0.0188,0.0180,1.76
51,left_hand,penetration,0.0070,0.0148,0.0180,1.85
51,right_hand,penetration,0.0136,0.0192,0.0180,1.85
52,left_hand,penetration,0.0141,0.0188,0.0180,1.19
55,right_hand,penetration,0.0054,0.0187,0.0180,0.77
83,right_hand,penetration,0.0132,0.0187,0.0180,0.40
93,right_hand,penetration,0.0036,0.0181,0.0180,1.36
94,right_hand,penetration,0.0027,0.0155,0.0180,0.83
95,right_hand,penetration,0.0098,0.0139,0.0180,0.76
96,right_hand,penetration,0.0127,0.0185,0.0180,0.81
97,left_hand,penetration,0.0125,0.0190,0.0180,0.98
98,left_hand,penetration,0.0044,0.0185,0.0180,1.66
99,left_hand,penetration,0.0060,0.0184,0.0180,1.97
99,right_hand,penetration,0.0110,0.0213,0.0180,1.97
100,left_hand,penetration,0.0163,0.0190,0.0180,1.14
100,right_hand,penetration,0.0023,0.0182,0.0180,1.14
101,right_hand,penetration,0.0001,0.0178,0.0180,1.34
102,right_hand,penetration,0.0149,0.0186,0.0180,1.14
111,right_hand,penetration,0.0159,0.0192,0.0180,0.86
112,right_hand,penetration,0.0137,0.0179,0.0180,1.12
120,left_hand,penetration,0.0114,0.0185,0.0180,1.03
120,right_hand,penetration,0.0148,0.0203,0.0180,1.03
121,left_hand,penetration,0.0064,0.0182,0.0180,1.34
121,right_hand,penetration,0.0056,0.0187,0.0180,1.34
122,left_hand,penetration,0.0078,0.0106,0.0180,2.39
128,left_hand,penetration,0.0040,0.0183,0.0180,0.90
129,left_hand,penetration,0.0087,0.0184,0.0180,0.50
131,right_hand,penetration,0.0054,0.0185,0.0180,0.76
150,right_hand,penetration,0.0042,0.0112,0.0180,1.17
151,right_hand,penetration,0.0177,0.0196,0.0180,0.69
153,left_hand,penetration,0.0060,0.0181,0.0180,1.28
158,left_hand,penetration,0.0099,0.0182,0.0180,0.78
158,right_hand,penetration,0.0164,0.0207,0.0180,0.78
159,left_hand,penetration,0.0075,0.0186,0.0180,1.18
160,left_hand,penetration,0.0048,0.0201,0.0180,1.06
160,right_hand,penetration,0.0026,0.0183,0.0180,1.06
161,left_hand,penetration,0.0060,0.0183,0.0180,1.25
161,right_hand,penetration,0.0165,0.0181,0.0180,1.25
162,left_hand,penetration,0.0108,0.0185,0.0180,0.67
164,left_hand,penetration,0.0117,0.0189,0.0180,0.47
165,left_hand,penetration,0.0150,0.0188,0.0180,0.51
169,left_hand,penetration,0.0073,0.0185,0.0180,1.13
170,left_hand,penetration,0.0130,0.0182,0.0180,1.13
171,left_hand,penetration,0.0037,0.0172,0.0180,2.34
172,right_hand,penetration,0.0024,0.0177,0.0180,2.07
195,left_hand,penetration,0.0050,0.0187,0.0180,0.62
195,right_hand,penetration,0.0110,0.0188,0.0180,0.62
196,right_hand,penetration,0.0169,0.0214,0.0180,0.17
